Ticker,QuarterDate,Residual_LogMarketCap,Overvaluation_pct
AEFES,2025-09-30,-1.982750126930448,-86.23099489727088
ULKER,2025-09-30,-1.6321965512707912,-80.45003229098349
TUKAS,2025-09-30,-1.2896923768949833,-72.46445242311886
SOKM,2025-09-30,-0.6297785774871016,-46.72902581212745
BIZIM,2025-09-30,-0.3492672485104364,-29.47953598054146
BIMAS,2025-09-30,-0.3364413346421031,-28.56922125310136
CCOLA,2025-09-30,-0.1727093521955218,-15.86178748228838
KOTON,2025-09-30,0.0675438600879907,6.9877183476258375
BESLR,2025-09-30,0.2256135547659283,25.30913205291796
MAVI,2025-09-30,1.0906965461216878,197.63465133246413
