Ticker,QuarterDate,Residual_LogMarketCap,Overvaluation_pct
TUPRS,2025-09-30,-2.155336402083023,-88.41357929044365
ZOREN,2025-09-30,-1.5612125987419567,-79.01185851056509
PETKM,2025-09-30,-0.6969603440245891,-50.19029512943703
ENJSA,2025-09-30,-0.5081514293158769,-39.83933360214644
ENERY,2025-09-30,-0.307084311091959,-26.441141998364827
AKYHO,2025-09-30,-0.1775232384830403,-16.265845943753078
A1YEN,2025-09-30,-0.0406770170539445,-3.9860811542990704
AKSEN,2025-09-30,0.0178156093759227,1.7975253990822004
ODAS,2025-09-30,0.9934583333139352,170.05577704244902
OYAYO,2025-09-30,1.0467088125734385,184.8261512585255
