Ticker,QuarterDate,Residual_LogMarketCap,Overvaluation_pct
VAKFN,2025-09-30,-1.086749116102002,-66.26887269715576
ISCTR,2025-09-30,-0.2423014094118407,-21.518041011224287
VAKBN,2025-09-30,-0.2423014094118407,-21.518041011224287
HALKB,2025-09-30,-0.2423014094118407,-21.518041011224287
YKBNK,2025-09-30,-0.2423014094118407,-21.518041011224287
AKBNK,2025-09-30,-0.0799226987813632,-7.681229283674307
GARAN,2025-09-30,0.706380232326655,102.66419921840291
LIDFA,2025-09-30,0.9135129549510808,149.3065193823701
SKBNK,2025-09-30,1.2564266437168108,251.28463813904156
QNBTR,2025-09-30,1.3747377237684724,295.4039536322929
