Ticker,QuarterDate,Residual_LogMarketCap,Overvaluation_pct
ASELS,2025-09-30,-2.3781829153633467,-90.72810973729722
TTKOM,2025-09-30,-1.498529618141326,-77.65415119874517
TCELL,2025-09-30,-0.8362660091479981,-56.66744600737822
FONET,2025-09-30,-0.5682302341615575,-43.34728275426488
AZTEK,2025-09-30,-0.3356136757349439,-28.51007646034519
TRENJ,2025-09-30,0.1445038378704808,15.546612948459316
SMART,2025-09-30,0.3358457497181355,39.91231930184147
EDATA,2025-09-30,0.90677043439009,147.63121926898714
CEOEM,2025-09-30,1.0780144790323654,193.88386286297876
EUREN,2025-09-30,1.3696986915909797,293.4165119834407
