Sector,LatestQuarter,Names
CAP,2025-09-30,"ENKAI, EREGL, OYAKC, THYAO, CMENT, AKCNS, CANTE, TURSG, BTCIM, USAK"
COM,2025-09-30,"TUPRS, ZOREN, PETKM, ENJSA, ENERY, AKYHO, A1YEN, AKSEN, ODAS, OYAYO"
CON,2025-09-30,"AEFES, ULKER, TUKAS, SOKM, BIZIM, BIMAS, CCOLA, KOTON, BESLR, MAVI"
FIN,2025-09-30,"VAKFN, ISCTR, VAKBN, HALKB, YKBNK, AKBNK, GARAN, LIDFA, SKBNK, QNBTR"
IND,2025-09-30,"SASA, DOAS, DOHOL, SISE, AHGAZ, VESTL, ASTOR, KRDMB, VESBE, RGYAS"
INT,2025-09-30,"ASELS, TTKOM, TCELL, FONET, AZTEK, TRENJ, SMART, EDATA, CEOEM, EUREN"
RE,2025-09-30,"SNGYO, AKFGY, AVPGY, SRVGY, TRGYO, RYGYO, PSGYO, HLGYO, AKSGY, VKGYO"
