Ticker,QuarterDate,Residual_LogMarketCap,Overvaluation_pct
ENKAI,2025-09-30,-1.8268729472008545,-83.90840254117764
EREGL,2025-09-30,-1.6338335013324468,-80.482008433016
OYAKC,2025-09-30,-1.442656386168995,-76.37007777517479
THYAO,2025-09-30,-0.4731882899484034,-37.69872469060383
CMENT,2025-09-30,0.6458585348529162,90.76240882012785
AKCNS,2025-09-30,0.6512138668039249,91.78674522574744
CANTE,2025-09-30,0.7015497787466565,101.68759981971998
TURSG,2025-09-30,0.7632114789698896,114.51542880839968
BTCIM,2025-09-30,0.8419373304417626,132.0858894799322
USAK,2025-09-30,0.9269016122738164,152.66684385874066
