Ticker,Weight
THYAO,0.05
ASELS,0.05
DOHOL,0.05
SASA,0.05
EREGL,0.05
EKGYO,0.05
ENERY,0.05
ULKER,0.05
ENKAI,0.05
SISE,0.05
SNGYO,0.05
DOAS,0.05
ISMEN,0.05
TUPRS,0.05
ENJSA,0.05
TTKOM,0.05
AHGAZ,0.05
CCOLA,0.05
BIMAS,0.05
ZRGYO,0.05
